id,user,place,date,content,likeCount,retweetCount,replyCount,lang,sourceLabel,media
1.51927E+18,"{'username': 'trekourway', 'id': 1396819896265166851, 'displayname': 'trekourway', 'description': 'trekourway is a platform for all your traveling dreams, get inspired to travel all across the world with us!', 'rawDescription': 'trekourway is a platform for all your traveling dreams, get inspired to travel all across the world with us!', 'descriptionUrls': None, 'verified': False, 'created': datetime.datetime(2021, 5, 24, 13, 26, 38, tzinfo=datetime.timezone.utc), 'followersCount': 0, 'friendsCount': 14, 'statusesCount': 68, 'favouritesCount': 0, 'listedCount': 0, 'mediaCount': 54, 'location': '', 'protected': False, 'linkUrl': 'https://trekourway.com/', 'linkTcourl': 'https://t.co/sZBlGeIPvz', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1396819991102590981/6iV7B5RN_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1396819896265166851/1621862951', 'label': None}",,2022-04-27 11:16:40+00:00,"Misspelled your name on an Air Canada flight ticket? Any name changes can be made within 24 hours of ticket purchase without any charges. For more information, check our blog on Air Canada Name Change Policy.
https://t.co/zvVTiDr52j
#aircanada #aircanadaflight #aircanadavacations https://t.co/2SbwFc6PH3",0,0,0,en,Twitter Web App,"[{'previewUrl': 'https://pbs.twimg.com/media/FRWKvf9XsAEe_eS?format=jpg&name=small', 'fullUrl': 'https://pbs.twimg.com/media/FRWKvf9XsAEe_eS?format=jpg&name=large'}]"
1.51926E+18,"{'username': 'TraveasyUK', 'id': 1068367243, 'displayname': 'TraveasyUK', 'description': 'Do you love to #travel? We love taking you there! ✈🌏', 'rawDescription': 'Do you love to #travel? We love taking you there! ✈🌏', 'descriptionUrls': None, 'verified': False, 'created': datetime.datetime(2013, 1, 7, 13, 50, 1, tzinfo=datetime.timezone.utc), 'followersCount': 460, 'friendsCount': 308, 'statusesCount': 2704, 'favouritesCount': 27, 'listedCount': 24, 'mediaCount': 1312, 'location': 'London', 'protected': False, 'linkUrl': 'http://www.traveasy.com/', 'linkTcourl': 'http://t.co/UQcYguJskf', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/887937593886650368/Crfo6Mbr_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1068367243/1619848430', 'label': None}",,2022-04-27 10:01:15+00:00,"#AirCanada is all set to resume non-stop services between #Manchester and #Toronto from 1st June. The airline is said to operate five times a week between Manchester and Toronto. 
#TraveasyUK  #Travel2022 #FlightNews https://t.co/QGu49UvJI7",0,0,0,en,Loomly,"[{'previewUrl': 'https://pbs.twimg.com/media/FRV6r6MXwAEQOu-?format=jpg&name=small', 'fullUrl': 'https://pbs.twimg.com/media/FRV6r6MXwAEQOu-?format=jpg&name=large'}]"
1.51925E+18,"{'username': 'air_logistics', 'id': 999975835217129472, 'displayname': 'Air Logistics International', 'description': 'Air Logistics International presents a fresh take on the airfreight industry, turning the spotlight on forwarders, shippers, GSAs & air cargo specialists', 'rawDescription': 'Air Logistics International presents a fresh take on the airfreight industry, turning the spotlight on forwarders, shippers, GSAs & air cargo specialists', 'descriptionUrls': None, 'verified': False, 'created': datetime.datetime(2018, 5, 25, 11, 29, 52, tzinfo=datetime.timezone.utc), 'followersCount': 448, 'friendsCount': 266, 'statusesCount': 1125, 'favouritesCount': 27, 'listedCount': 8, 'mediaCount': 508, 'location': '', 'protected': False, 'linkUrl': 'http://airlogisticsinternational.com/', 'linkTcourl': 'https://t.co/293twXkITt', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1000034082896695297/DJqyRYBD_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/999975835217129472/1650881696', 'label': None}",,2022-04-27 09:55:09+00:00,@AirCanada operates second aid flight for Ukrainian refugees https://t.co/Mr8K5s0CcZ #aviation #aircargo #airfreight #AirCanada #WarinUkraine,0,0,0,en,Twitter Web App,
1.51925E+18,"{'username': 'ittn_ie', 'id': 332749192, 'displayname': ""Ireland's Travel Trade Network"", 'description': 'ITTN is a #travelindustry media company in Ireland providing multiple platforms including online; Today’s News, Today newsletter; and the annual #ittnawards21', 'rawDescription': 'ITTN is a #travelindustry media company in Ireland providing multiple platforms including online; Today’s News, Today newsletter; and the annual #ittnawards21', 'descriptionUrls': None, 'verified': False, 'created': datetime.datetime(2011, 7, 10, 10, 36, 31, tzinfo=datetime.timezone.utc), 'followersCount': 3637, 'friendsCount': 3742, 'statusesCount': 15110, 'favouritesCount': 1601, 'listedCount': 50, 'mediaCount': 5250, 'location': 'Dublin, Ireland', 'protected': False, 'linkUrl': 'http://www.ittn.ie', 'linkTcourl': 'https://t.co/mhs8elp4pL', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1363903101653106698/FrgPLaLq_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/332749192/1614014815', 'label': None}",,2022-04-27 09:26:11+00:00,"One hundred Air Canada employee volunteers packed emergency food kits and other response supplies destined for Ukraine.

#ittnswitchedon #AirCanada #Ukraine

https://t.co/y92ibU77ww https://t.co/TDoJXji3Q4",0,0,0,en,Blog2Social APP,"[{'previewUrl': 'https://pbs.twimg.com/media/FRVyqHeXIAARZ-J?format=jpg&name=small', 'fullUrl': 'https://pbs.twimg.com/media/FRVyqHeXIAARZ-J?format=jpg&name=large'}]"
1.51925E+18,"{'username': 'sigmaavia', 'id': 1514078063985782784, 'displayname': 'Sigma Avia Liveries', 'description': '🇮🇩Indonesian Aviation Brand Sigma Avia Liveries making a Art & Design & Photography.\n🔰Member of Community Part : Sky Liveries🔰\nWe Make A Livery & Fly Away', 'rawDescription': '🇮🇩Indonesian Aviation Brand Sigma Avia Liveries making a Art & Design & Photography.\n🔰Member of Community Part : Sky Liveries🔰\nWe Make A Livery & Fly Away', 'descriptionUrls': None, 'verified': False, 'created': datetime.datetime(2022, 4, 13, 3, 9, tzinfo=datetime.timezone.utc), 'followersCount': 6, 'friendsCount': 37, 'statusesCount': 16, 'favouritesCount': 20, 'listedCount': 0, 'mediaCount': 11, 'location': 'Batu, Indonesia', 'protected': False, 'linkUrl': 'https://lynk.id/sigmaavialiveries', 'linkTcourl': 'https://t.co/xUWMtkNrP7', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1514087688810295296/1UpFmLZc_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1514078063985782784/1652581885', 'label': None}",,2022-04-27 09:25:50+00:00,"Airline : Air Canada
Aircraft : Boeing 787-9 Dreamliner
Country : Canada
Registration : C-FRTG
Template Boeing 787-9 Dreamliner made by : MED Airline Enterprise
Link Template made from MED :
https://t.co/4uK7MTiYCt
#aviation #Avgeeks #art #artwork #aircanada @Boeing @AirCanada https://t.co/akA139xccG",3,0,0,en,Twitter Web App,"[{'previewUrl': 'https://pbs.twimg.com/media/FRVyNavVUAEkvun?format=jpg&name=small', 'fullUrl': 'https://pbs.twimg.com/media/FRVyNavVUAEkvun?format=jpg&name=large'}]"
1.51924E+18,"{'username': 'StatMediaNews', 'id': 454885372, 'displayname': 'STAT Times', 'description': 'STAT Times is a dynamic media organization dedicated to the field of air cargo, logistics and transport.', 'rawDescription': 'STAT Times is a dynamic media organization dedicated to the field of air cargo, logistics and transport.', 'descriptionUrls': None, 'verified': False, 'created': datetime.datetime(2012, 1, 4, 14, 2, 36, tzinfo=datetime.timezone.utc), 'followersCount': 3893, 'friendsCount': 2120, 'statusesCount': 15907, 'favouritesCount': 1687, 'listedCount': 124, 'mediaCount': 3757, 'location': 'Worldwide', 'protected': False, 'linkUrl': 'http://www.stattimes.com', 'linkTcourl': 'https://t.co/ttI4xur4ky', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1371764158752985088/kK_VRLb9_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/454885372/1450775522', 'label': None}",,2022-04-27 08:47:10+00:00,".@AirCanada, @Fly_Airlink, https://t.co/mdQ6Kju6az, #GlobalMedic send aid to #Ukraine

@globalmedicdmgf #AirCanada #Airlink #Flexportorg #humanitarian #medicalaid #disasterlogistics #Boeing767_300 #freighter #humanitarianaid #medicalandtraumasupplies

https://t.co/SddCiGkE6J",0,0,0,en,Twitter Web App,
1.51924E+18,"{'username': 'AKoeppern', 'id': 1151032217625382912, 'displayname': 'AboveKoeppern', 'description': 'I’m tweeting about air traffic flying in a three kilometer radius and below 13k feet over Friedrichsdorf / Taunus, Germany - powered by a Raspberry Pi4 2GB', 'rawDescription': 'I’m tweeting about air traffic flying in a three kilometer radius and below 13k feet over Friedrichsdorf / Taunus, Germany - powered by a Raspberry Pi4 2GB', 'descriptionUrls': None, 'verified': False, 'created': datetime.datetime(2019, 7, 16, 7, 34, tzinfo=datetime.timezone.utc), 'followersCount': 182, 'friendsCount': 50, 'statusesCount': 66613, 'favouritesCount': 12, 'listedCount': 9, 'mediaCount': 62430, 'location': 'Friedrichsdorf, Deutschland', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1156813398903906304/wd-pbvBY_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1151032217625382912/1564641036', 'label': None}",,2022-04-27 08:40:37+00:00,"ICAO: #C038A3
Flt: #ACA845 #AirCanada
First seen: 2022/04/27 10:39:07
Min Alt: 9975 ft MSL
Min Dist: 1.88 km

#planefence #adsb - docker:kx1t/planefence
https://t.co/STWGWAegaZ https://t.co/50MkmtTxG0",0,0,0,en,AboveKoeppern,"[{'previewUrl': 'https://pbs.twimg.com/media/FRVoOT4XMAQsz4u?format=jpg&name=small', 'fullUrl': 'https://pbs.twimg.com/media/FRVoOT4XMAQsz4u?format=jpg&name=large'}]"
1.51923E+18,"{'username': 'AboveBracknell', 'id': 1330087399624503296, 'displayname': 'Above Bracknell Bot ✈️', 'description': ""I'm a Bracknell-based Raspberry Pi #ADSB bot looking at the skies above me. Find my code on GitHub."", 'rawDescription': ""I'm a Bracknell-based Raspberry Pi #ADSB bot looking at the skies above me. Find my code on GitHub."", 'descriptionUrls': None, 'verified': False, 'created': datetime.datetime(2020, 11, 21, 9, 55, 38, tzinfo=datetime.timezone.utc), 'followersCount': 190, 'friendsCount': 20, 'statusesCount': 100687, 'favouritesCount': 4, 'listedCount': 8, 'mediaCount': 100077, 'location': 'Bracknell', 'protected': False, 'linkUrl': 'https://git.io/Jk5fA', 'linkTcourl': 'https://t.co/FPRwKxQo6U', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1332309465316651010/wAz0VI_z_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1330087399624503296/1610140068', 'label': {'description': 'Automated', 'url': None, 'badgeUrl': 'https://pbs.twimg.com/semantic_core_img/1428827730364096519/4ZXpTBhS?format=png&name=orig', 'longDescription': 'Automated by @scott_aero'}}",,2022-04-27 08:24:36+00:00,"🇨🇦 C-FIVK #AIRCANADA #ACA842: 2.5mi away heading E, travelling 557mph @ 39000ft [Air Canada - #BOEING 777-233] [85 Tracked Flights @ 09:23:58 AM] #AboveBracknell #RG12 #RG42 #ADSB I've seen this aircraft 12 times before! https://t.co/pezIYkSSFz",0,0,0,en,ADSBPi,"[{'previewUrl': 'https://pbs.twimg.com/media/FRVkj9OX0AA3dr8?format=jpg&name=small', 'fullUrl': 'https://pbs.twimg.com/media/FRVkj9OX0AA3dr8?format=jpg&name=large'}]"
1.5192E+18,"{'username': 'LongmanGill', 'id': 1963796870, 'displayname': '🇨🇦 Sammy Gill', 'description': '#Frontlineworker   #dronepilot #Traveling #Reading #Music, participating in political and socio-political issues. (If you have a opinion- Express it.)', 'rawDescription': '#Frontlineworker   #dronepilot #Traveling #Reading #Music, participating in political and socio-political issues. (If you have a opinion- Express it.)', 'descriptionUrls': None, 'verified': False, 'created': datetime.datetime(2013, 10, 16, 2, 20, 25, tzinfo=datetime.timezone.utc), 'followersCount': 429, 'friendsCount': 420, 'statusesCount': 35995, 'favouritesCount': 18088, 'listedCount': 21, 'mediaCount': 12574, 'location': 'Canada', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/977759859616530433/8WBo0gwM_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1963796870/1624033008', 'label': None}",,2022-04-27 06:17:59+00:00,@AirCanada isn't it a joke ? #Vistara brining traveler with 2 x 23 kgs baggage and then #Lufthansa and #AirCanada have different baggage policies. Both allow 1x23 kgs - isn't it a trap for traveler to oay more ? #airlines #baggage policies,0,0,0,en,Twitter for Android,
1.51913E+18,"{'username': 'JPJets_Group', 'id': 1131375500411265027, 'displayname': 'JordanianPrivateJetsServices', 'description': ""Through it's journey to success, JPJets has earned a reputation for providing first-rate ground handling services and showing dedication for quality of service."", 'rawDescription': ""Through it's journey to success, JPJets has earned a reputation for providing first-rate ground handling services and showing dedication for quality of service."", 'descriptionUrls': None, 'verified': False, 'created': datetime.datetime(2019, 5, 23, 1, 45, 14, tzinfo=datetime.timezone.utc), 'followersCount': 564, 'friendsCount': 1188, 'statusesCount': 8752, 'favouritesCount': 5071, 'listedCount': 9, 'mediaCount': 6017, 'location': 'Amman, Hashemite Kingdom of Jordan', 'protected': False, 'linkUrl': 'http://www.jpjets.com', 'linkTcourl': 'https://t.co/aXgqU9XbCw', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1131375894759727105/08k15YR__normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1131375500411265027/1558576395', 'label': None}",,2022-04-27 01:37:21+00:00,Air Canada ordered two new Boeing 767-300F freighters @AirCanada @Boeing #cargo #aircanada #Canada #airlines #aviation #news #canadanews #boeing767 #Aircraft #Airplane https://t.co/0Fd8eDq2TK,2,0,0,en,Twitter for iPhone,"[{'previewUrl': 'https://pbs.twimg.com/media/FRUHWXyWQAI4c0c?format=jpg&name=small', 'fullUrl': 'https://pbs.twimg.com/media/FRUHWXyWQAI4c0c?format=jpg&name=large'}]"
